Austria;;;;;;;;;;;
Belgium;32;;;;;;;;;;
Bulgaria;;;;;;;;;;;
Croatia;;;;;;;;;;;
Cyprus;;;;;;;;;;;
CzechRep;;;;;;;;;;;
Denmark;;;;;;;;;;;
Estonia;;;;;;;;;;;
Finland;;;;;;;;;;;
France;34;;;;;;;;;;
Germany;17;;;;;;;;;;
Greece;;;;;;;;;;;
Hungary;21;;;;;;;;;;
Ireland;;;;;;;;;;;
Italy;30;;;;;;;;;;
Latvia;;;;;;;;;;;
Lithuania;;;;;;;;;;;
Luxembourg;;;;;;;;;;;
Malta;;;;;;;;;;;
Netherlands;30;;;;;;;;;;
Poland;22;;;;;;;;;;
Portugal;;;;;;;;;;;
Romania;;;;;;;;;;;
Slovakia;;;;;;;;;;;
Slovenia;;;;;;;;;;;
Spain;39;;;;;;;;;;
Swede;29;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
